    PID    PPID CMD                         %CPU
    587       2 [UVM deferred release queue  0.0
    588       2 [UVM Tools Event Queue]      0.0
    589       2 [irq/85-nvidia]              0.0
    590       2 [nvidia]                     0.0
    591       2 [nv_queue]                   0.0
    922       2 [kworker/u53:1]              0.0
   1583       2 [krfcommd]                   0.0
  10026   10022 (sd-pam)                     0.0
  10031       2 [psimon]                     0.0
  10129       2 [kworker/6:0-events]         0.0
  11377       2 [psimon]                     0.0
  11419       2 [kworker/7:2]                0.0
  11464   11434 /usr/bin/zsh                 0.0
  11492   11434 /usr/bin/zsh                 0.0
  12223       2 [kworker/1:0]                0.0
  12257       2 [kworker/2:2]                0.0
  12867       2 [kworker/4:1]                0.0
  12922       2 [kworker/11:0]               0.0
  14616       2 [kworker/9:0]                0.0
  14636       2 [kworker/0:0]                0.0
  14653       2 [kworker/5:0]                0.0
  14935     401 systemd-userwork: waiting..  0.0
  14936     401 systemd-userwork: waiting..  0.0
  14937       2 [kworker/8:0]                0.0
  14938     401 systemd-userwork: waiting..  0.0
  14947   10035 /bin/bash /usr/bin/dump_sys  0.0
  14953   14947 ps -eo pid,ppid,cmd,%cpu --  0.0
      2       0 [kthreadd]                   0.0
     26       2 [ksoftirqd/1]                0.0
     62       2 [ksoftirqd/7]                0.0
    265       2 [kworker/11:1H-kblockd]      0.0
    534       2 [irq/78-iwlwifi:queue_8]     0.0
    535       2 [irq/79-iwlwifi:queue_9]     0.0
    536       2 [irq/80-iwlwifi:queue_10]    0.0
    538       2 [irq/82-iwlwifi:queue_12]    0.0
     13       2 [kworker/u48:1-ipv6_addrcon  0.0
     97       2 [khungtaskd]                 0.0
    238       2 [kworker/9:1H-kblockd]       0.0
    271       2 [kworker/5:1H-kblockd]       0.0
   8878       1 login -- root                0.0
    228       2 [kworker/3:1H-kblockd]       0.0
    266       2 [kworker/10:1H-kblockd]      0.0
    274       2 [kworker/4:1H-kblockd]       0.0
    600       1 /usr/bin/dbus-broker-launch  0.0
     20       2 [migration/0]                0.0
    185       2 [kworker/0:1H-kblockd]       0.0
    252       2 [kworker/6:1H-kblockd]       0.0
     15       2 [ksoftirqd/0]                0.0
    117       2 [kworker/1:1H-kblockd]       0.0
    427       1 /usr/lib/systemd/systemd-ti  0.0
    709       1 /usr/lib/systemd/systemd-ne  0.0
    401       1 /usr/lib/systemd/systemd-us  0.0
    240       2 [kworker/8:1H-kblockd]       0.0
    253       2 [kworker/2:1H-kblockd]       0.0
     55       2 [migration/6]                0.0
     61       2 [migration/7]                0.0
     67       2 [migration/8]                0.0
     43       2 [migration/4]                0.0
     49       2 [migration/5]                0.0
     73       2 [migration/9]                0.0
     79       2 [migration/10]               0.0
     85       2 [migration/11]               0.0
     25       2 [migration/1]                0.0
     31       2 [migration/2]                0.0
  11139       1 /usr/lib/systemd/systemd-lo  0.0
     37       2 [migration/3]                0.0
    432       1 /usr/lib/systemd/systemd-ud  0.0
    254       2 [kworker/7:1H-kblockd]       0.0
    596       1 /usr/lib/systemd/systemd-re  0.0
  10022       1 /usr/lib/systemd/systemd --  0.0
    102       2 [kcompactd0]                 0.0
    601     600 dbus-broker --log 10 --cont  0.0
    384       1 /usr/lib/systemd/systemd-jo  0.0
    138       2 [kworker/10:1-cgroup_destro  0.0
    104       2 [khugepaged]                 0.0
  14619       1 /usr/lib/iwd/iwd             0.0
  14627       2 [kworker/u50:0-events_power  0.0
    339       2 [jbd2/sdd2-8]                0.0
    526       2 [irq/70-iwlwifi:default_que  0.0
  11191       2 [kworker/3:1-events]         0.0
  12176       2 [kworker/u50:1-events_unbou  0.0
  10035    8878 -zsh                         0.0
  12137       2 [kworker/u50:2-events_power  0.0
     16       2 [rcu_preempt]                0.0
  12113       2 [kworker/u49:2-events_unbou  0.0
  12444       2 [kworker/u49:3-events_power  0.0
  11404       2 [kworker/8:1-events]         0.0
    270       2 [usb-storage]                0.0
   9627       2 [kworker/11:2-events]        0.0
   4454       2 [kworker/9:2-events]         0.0
   9374       2 [kworker/2:1-mm_percpu_wq]   0.0
  14633       2 [kworker/u49:0-flush-8:48]   0.0
    425       2 [kworker/4:2-events_freezab  0.0
  11390       2 [kworker/10:2-events]        0.0
   4719       2 [kworker/1:2-events]         0.0
   9381       2 [kworker/7:1-mm_percpu_wq]   0.0
      1       0 /sbin/init                   0.0
  11428       2 [kworker/0:1-events]         0.0
  10108       2 [kworker/3:2-events]         0.0
   9628       2 [kworker/5:2-events]         0.0
  11501   11492 ./monitor                    0.0
    584       2 [nvidia-modeset/kthread_q]   0.0
  12886       2 [kworker/6:2-events]         0.1
  14632       2 [kworker/8:3-events]         0.2
  11434       1 /usr/bin/zellij --server /r  0.3
