  UNIT                                                                                                                                                        LOAD      ACTIVE   SUB       DESCRIPTION
  dev-disk-by\x2did-wwn\x2d0x5002538f4211564d.device                                                                                                          loaded    active   plugged   Samsung_SSD_870_EVO_1TB
  dev-disk-by\x2did-wwn\x2d0x5002538f4211564d\x2dpart1.device                                                                                                 loaded    active   plugged   Samsung_SSD_870_EVO_1TB Microsoft\x20reserved\x20partition
  dev-disk-by\x2did-wwn\x2d0x5002538f4211564d\x2dpart2.device                                                                                                 loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2did-wwn\x2d0x500a0751e28c8e8c.device                                                                                                          loaded    active   plugged   CT500MX500SSD1
  dev-disk-by\x2did-wwn\x2d0x500a0751e28c8e8c\x2dpart1.device                                                                                                 loaded    active   plugged   CT500MX500SSD1 Microsoft\x20reserved\x20partition
  dev-disk-by\x2did-wwn\x2d0x500a0751e28c8e8c\x2dpart2.device                                                                                                 loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-disk-by\x2did-wwn\x2d0x500a0751e28c8e8c\x2dpart3.device                                                                                                 loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
  dev-disk-by\x2did-wwn\x2d0x500a0751e28c8e8c\x2dpart4.device                                                                                                 loaded    active   plugged   CT500MX500SSD1 4
  dev-disk-by\x2dlabel-Sy\x5cx27s\x5cx20Storage.device                                                                                                        loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2dlabel-SY\x5cx27s\x5cx20Storage\x5cx202.device                                                                                                loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
  dev-disk-by\x2dpartlabel-Basic\x5cx20data\x5cx20partition.device                                                                                            loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
  dev-disk-by\x2dpartlabel-EFI\x5cx20system\x5cx20partition.device                                                                                            loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-disk-by\x2dpartlabel-Microsoft\x5cx20reserved\x5cx20partition.device                                                                                    loaded    active   plugged   CT500MX500SSD1 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpartuuid-05f72c3d\x2d0c90\x2d49ee\x2db08b\x2d6bcbce6d22d5.device                                                                             loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-disk-by\x2dpartuuid-232a1a79\x2df109\x2d48ec\x2d818d\x2d4a8d1e615c23.device                                                                             loaded    active   plugged   Samsung_SSD_840_EVO_120GB 2
  dev-disk-by\x2dpartuuid-2f5adaf7\x2d4261\x2d41bb\x2da289\x2d125821749b52.device                                                                             loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2dpartuuid-3625b53b\x2d4a20\x2d4382\x2d9e57\x2d743031c8ee89.device                                                                             loaded    active   plugged   CT500MX500SSD1 4
  dev-disk-by\x2dpartuuid-55ff2f0a\x2da8f2\x2d4d6d\x2db21b\x2d34340bc8de8c.device                                                                             loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
  dev-disk-by\x2dpartuuid-67263091\x2d5ffe\x2d4937\x2d9257\x2d8ded6a2d4fa4.device                                                                             loaded    active   plugged   SSDPR-CX400-01T-G2 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpartuuid-a8ef694b\x2dd627\x2d41d3\x2d9e97\x2d2f81c29ba63c.device                                                                             loaded    active   plugged   Samsung_SSD_870_EVO_1TB Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpartuuid-b8e3a014\x2dc28b\x2d4c8e\x2d8f2e\x2d27dbb355d89b.device                                                                             loaded    active   plugged   CT500MX500SSD1 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpartuuid-bf9bfc69\x2d9f73\x2d4c49\x2d8b0f\x2d7aeb88491313.device                                                                             loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
  dev-disk-by\x2dpartuuid-ce992949\x2da3e3\x2d408d\x2d9e32\x2d099b52157eb5.device                                                                             loaded    active   plugged   Samsung_SSD_840_EVO_120GB 1
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusb\x2d0:2:1.0\x2dscsi\x2d0:0:0:0.device                                                                         loaded    active   plugged   Samsung_SSD_840_EVO_120GB
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusb\x2d0:2:1.0\x2dscsi\x2d0:0:0:0\x2dpart-by\x2dpartnum-1.device                                                 loaded    active   plugged   Samsung_SSD_840_EVO_120GB 1
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusb\x2d0:2:1.0\x2dscsi\x2d0:0:0:0\x2dpart-by\x2dpartnum-2.device                                                 loaded    active   plugged   Samsung_SSD_840_EVO_120GB 2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusb\x2d0:2:1.0\x2dscsi\x2d0:0:0:0\x2dpart-by\x2dpartuuid-232a1a79\x2df109\x2d48ec\x2d818d\x2d4a8d1e615c23.device loaded    active   plugged   Samsung_SSD_840_EVO_120GB 2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusb\x2d0:2:1.0\x2dscsi\x2d0:0:0:0\x2dpart-by\x2dpartuuid-ce992949\x2da3e3\x2d408d\x2d9e32\x2d099b52157eb5.device loaded    active   plugged   Samsung_SSD_840_EVO_120GB 1
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusb\x2d0:2:1.0\x2dscsi\x2d0:0:0:0\x2dpart-by\x2duuid-245ee27d\x2dbd7f\x2d40ee\x2db2d8\x2deb3af9f27917.device     loaded    active   plugged   Samsung_SSD_840_EVO_120GB 2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusb\x2d0:2:1.0\x2dscsi\x2d0:0:0:0\x2dpart-by\x2duuid-804B\x2dE7CB.device                                         loaded    active   plugged   Samsung_SSD_840_EVO_120GB 1
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusb\x2d0:2:1.0\x2dscsi\x2d0:0:0:0\x2dpart1.device                                                                loaded    active   plugged   Samsung_SSD_840_EVO_120GB 1
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusb\x2d0:2:1.0\x2dscsi\x2d0:0:0:0\x2dpart2.device                                                                loaded    active   plugged   Samsung_SSD_840_EVO_120GB 2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusbv2\x2d0:2:1.0\x2dscsi\x2d0:0:0:0.device                                                                       loaded    active   plugged   Samsung_SSD_840_EVO_120GB
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusbv2\x2d0:2:1.0\x2dscsi\x2d0:0:0:0\x2dpart1.device                                                              loaded    active   plugged   Samsung_SSD_840_EVO_120GB 1
  dev-disk-by\x2dpath-pci\x2d0000:01:00.0\x2dusbv2\x2d0:2:1.0\x2dscsi\x2d0:0:0:0\x2dpart2.device                                                              loaded    active   plugged   Samsung_SSD_840_EVO_120GB 2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0.device                                                                                                loaded    active   plugged   CT500MX500SSD1
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartlabel-Basic\x5cx20data\x5cx20partition.device                                       loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartlabel-EFI\x5cx20system\x5cx20partition.device                                       loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartlabel-Microsoft\x5cx20reserved\x5cx20partition.device                               loaded    active   plugged   CT500MX500SSD1 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartnum-1.device                                                                        loaded    active   plugged   CT500MX500SSD1 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartnum-2.device                                                                        loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartnum-3.device                                                                        loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartnum-4.device                                                                        loaded    active   plugged   CT500MX500SSD1 4
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartuuid-05f72c3d\x2d0c90\x2d49ee\x2db08b\x2d6bcbce6d22d5.device                        loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartuuid-3625b53b\x2d4a20\x2d4382\x2d9e57\x2d743031c8ee89.device                        loaded    active   plugged   CT500MX500SSD1 4
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartuuid-b8e3a014\x2dc28b\x2d4c8e\x2d8f2e\x2d27dbb355d89b.device                        loaded    active   plugged   CT500MX500SSD1 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2dpartuuid-bf9bfc69\x2d9f73\x2d4c49\x2d8b0f\x2d7aeb88491313.device                        loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2duuid-660E070C0E06D4C9.device                                                            loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2duuid-B20E26E00E269CFB.device                                                            loaded    active   plugged   CT500MX500SSD1 4
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart-by\x2duuid-F6D5\x2d0FAB.device                                                                loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart1.device                                                                                       loaded    active   plugged   CT500MX500SSD1 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart2.device                                                                                       loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d1.0\x2dpart3.device                                                                                       loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
